,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,410
1,[],[],평균,[],2000,01/04,410
2,[],[],평균,[],2000,01/05,410
3,[],[],평균,[],2000,01/06,410
4,[],[],평균,[],2000,01/07,410
5,[],[],평균,[],2000,01/08,410
6,[],[],평균,[],2000,01/10,410
7,[],[],평균,[],2000,01/11,410
8,[],[],평균,[],2000,01/12,410
9,[],[],평균,[],2000,01/13,410
10,[],[],평균,[],2000,01/14,410
11,[],[],평균,[],2000,01/15,410
12,[],[],평균,[],2000,01/17,410
13,[],[],평균,[],2000,01/18,410
14,[],[],평균,[],2000,01/19,410
15,[],[],평균,[],2000,01/20,410
16,[],[],평균,[],2000,01/21,410
17,[],[],평균,[],2000,01/22,410
18,[],[],평균,[],2000,01/24,410
19,[],[],평균,[],2000,01/25,410
20,[],[],평균,[],2000,01/26,410
21,[],[],평균,[],2000,01/27,410
22,[],[],평균,[],2000,01/28,410
23,[],[],평균,[],2000,01/29,410
24,[],[],평균,[],2000,01/31,410
25,[],[],평균,[],2000,02/01,410
26,[],[],평균,[],2000,02/02,410
27,[],[],평균,[],2000,02/03,410
28,[],[],평균,[],2000,02/07,410
29,[],[],평균,[],2000,02/08,410
30,[],[],평균,[],2000,02/09,410
31,[],[],평균,[],2000,02/10,410
32,[],[],평균,[],2000,02/11,410
33,[],[],평균,[],2000,02/12,410
34,[],[],평균,[],2000,02/14,410
35,[],[],평균,[],2000,02/15,410
36,[],[],평균,[],2000,02/16,410
37,[],[],평균,[],2000,02/17,410
38,[],[],평균,[],2000,02/18,410
39,[],[],평균,[],2000,02/19,410
40,[],[],평균,[],2000,02/21,410
41,[],[],평균,[],2000,02/22,410
42,[],[],평균,[],2000,02/23,410
43,[],[],평균,[],2000,02/24,440
44,[],[],평균,[],2000,02/25,480
45,[],[],평균,[],2000,02/26,480
46,[],[],평균,[],2000,02/28,500
47,[],[],평균,[],2000,02/29,520
48,[],[],평균,[],2000,03/02,520
49,[],[],평균,[],2000,03/03,520
50,[],[],평균,[],2000,03/04,520
51,[],[],평균,[],2000,03/06,570
52,[],[],평균,[],2000,03/07,600
53,[],[],평균,[],2000,03/08,650
54,[],[],평균,[],2000,03/09,650
55,[],[],평균,[],2000,03/10,670
56,[],[],평균,[],2000,03/11,670
57,[],[],평균,[],2000,03/13,670
58,[],[],평균,[],2000,03/14,680
59,[],[],평균,[],2000,03/15,680
60,[],[],평균,[],2000,03/16,680
61,[],[],평균,[],2000,03/17,680
62,[],[],평균,[],2000,03/18,680
63,[],[],평균,[],2000,03/20,680
64,[],[],평균,[],2000,03/21,680
65,[],[],평균,[],2000,03/22,680
66,[],[],평균,[],2000,03/23,710
67,[],[],평균,[],2000,03/24,750
68,[],[],평균,[],2000,03/25,750
69,[],[],평균,[],2000,03/27,750
70,[],[],평균,[],2000,03/28,750
71,[],[],평균,[],2000,03/29,750
72,[],[],평균,[],2000,03/30,750
73,[],[],평균,[],2000,03/31,750
74,[],[],평균,[],2000,04/01,780
75,[],[],평균,[],2000,04/03,800
76,[],[],평균,[],2000,04/04,800
77,[],[],평균,[],2000,04/06,800
78,[],[],평균,[],2000,04/07,800
79,[],[],평균,[],2000,04/08,800
80,[],[],평균,[],2000,04/10,850
81,[],[],평균,[],2000,04/11,850
82,[],[],평균,[],2000,04/12,850
83,[],[],평균,[],2000,04/14,850
84,[],[],평균,[],2000,04/15,900
85,[],[],평균,[],2000,04/17,"1,000"
86,[],[],평균,[],2000,04/18,"1,000"
87,[],[],평균,[],2000,04/19,"1,000"
88,[],[],평균,[],2000,04/20,"1,000"
89,[],[],평균,[],2000,04/21,"1,000"
90,[],[],평균,[],2000,04/22,"1,000"
91,[],[],평균,[],2000,04/24,"1,000"
92,[],[],평균,[],2000,04/25,"1,000"
93,[],[],평균,[],2000,04/26,"1,000"
94,[],[],평균,[],2000,04/27,"1,000"
95,[],[],평균,[],2000,05/02,800
96,[],[],평균,[],2000,05/03,850
97,[],[],평균,[],2000,05/04,850
98,[],[],평균,[],2000,05/06,700
99,[],[],평균,[],2000,05/08,650
100,[],[],평균,[],2000,05/09,650
101,[],[],평균,[],2000,05/10,630
102,[],[],평균,[],2000,05/12,620
103,[],[],평균,[],2000,05/13,600
104,[],[],평균,[],2000,05/15,600
105,[],[],평균,[],2000,05/16,600
106,[],[],평균,[],2000,05/17,600
107,[],[],평균,[],2000,05/18,570
108,[],[],평균,[],2000,05/19,550
109,[],[],평균,[],2000,05/20,550
110,[],[],평균,[],2000,05/22,520
111,[],[],평균,[],2000,05/23,520
112,[],[],평균,[],2000,05/24,470
113,[],[],평균,[],2000,05/25,450
114,[],[],평균,[],2000,05/26,420
115,[],[],평균,[],2000,05/27,400
116,[],[],평균,[],2000,05/29,380
117,[],[],평균,[],2000,05/30,370
118,[],[],평균,[],2000,05/31,350
119,[],[],평균,[],2000,06/01,330
120,[],[],평균,[],2000,06/02,330
121,[],[],평균,[],2000,06/03,350
122,[],[],평균,[],2000,06/05,350
123,[],[],평균,[],2000,06/07,380
124,[],[],평균,[],2000,06/08,400
125,[],[],평균,[],2000,06/09,400
126,[],[],평균,[],2000,06/10,350
127,[],[],평균,[],2000,06/12,370
128,[],[],평균,[],2000,06/13,370
129,[],[],평균,[],2000,06/14,300
130,[],[],평균,[],2000,06/15,270
131,[],[],평균,[],2000,06/16,270
132,[],[],평균,[],2000,06/17,270
133,[],[],평균,[],2000,06/19,270
134,[],[],평균,[],2000,06/20,270
135,[],[],평균,[],2000,06/21,270
136,[],[],평균,[],2000,06/22,270
137,[],[],평균,[],2000,06/23,280
138,[],[],평균,[],2000,06/24,280
139,[],[],평균,[],2000,06/26,300
140,[],[],평균,[],2000,06/27,300
141,[],[],평균,[],2000,06/28,300
142,[],[],평균,[],2000,06/29,300
143,[],[],평균,[],2000,06/30,300
144,[],[],평균,[],2000,07/01,330
145,[],[],평균,[],2000,07/03,330
146,[],[],평균,[],2000,07/04,320
147,[],[],평균,[],2000,07/05,320
148,[],[],평균,[],2000,07/06,300
149,[],[],평균,[],2000,07/07,300
150,[],[],평균,[],2000,07/08,300
151,[],[],평균,[],2000,07/10,300
152,[],[],평균,[],2000,07/11,300
153,[],[],평균,[],2000,07/12,300
154,[],[],평균,[],2000,07/13,300
155,[],[],평균,[],2000,07/14,310
156,[],[],평균,[],2000,07/15,310
157,[],[],평균,[],2000,07/18,310
158,[],[],평균,[],2000,07/19,310
159,[],[],평균,[],2000,07/21,300
160,[],[],평균,[],2000,07/22,300
161,[],[],평균,[],2000,07/24,300
162,[],[],평균,[],2000,07/25,300
163,[],[],평균,[],2000,07/26,300
164,[],[],평균,[],2000,07/27,300
165,[],[],평균,[],2000,07/28,300
166,[],[],평균,[],2000,07/29,300
167,[],[],평균,[],2000,07/31,300
168,[],[],평균,[],2000,08/01,320
169,[],[],평균,[],2000,08/02,320
170,[],[],평균,[],2000,08/03,340
171,[],[],평균,[],2000,08/04,350
172,[],[],평균,[],2000,08/05,350
173,[],[],평균,[],2000,08/07,370
174,[],[],평균,[],2000,08/08,370
175,[],[],평균,[],2000,08/09,370
176,[],[],평균,[],2000,08/10,370
177,[],[],평균,[],2000,08/11,370
178,[],[],평균,[],2000,08/12,370
179,[],[],평균,[],2000,08/14,370
180,[],[],평균,[],2000,08/16,370
181,[],[],평균,[],2000,08/17,370
182,[],[],평균,[],2000,08/18,370
183,[],[],평균,[],2000,08/19,370
184,[],[],평균,[],2000,08/21,370
185,[],[],평균,[],2000,08/22,370
186,[],[],평균,[],2000,08/23,370
187,[],[],평균,[],2000,08/24,370
188,[],[],평균,[],2000,08/25,370
189,[],[],평균,[],2000,08/26,370
190,[],[],평균,[],2000,08/28,370
191,[],[],평균,[],2000,08/29,370
192,[],[],평균,[],2000,08/30,370
193,[],[],평균,[],2000,08/31,370
194,[],[],평균,[],2000,09/01,400
195,[],[],평균,[],2000,09/02,400
196,[],[],평균,[],2000,09/04,400
197,[],[],평균,[],2000,09/05,400
198,[],[],평균,[],2000,09/06,400
199,[],[],평균,[],2000,09/07,400
200,[],[],평균,[],2000,09/08,400
201,[],[],평균,[],2000,09/09,400
202,[],[],평균,[],2000,09/14,400
203,[],[],평균,[],2000,09/15,420
204,[],[],평균,[],2000,09/16,420
205,[],[],평균,[],2000,09/18,420
206,[],[],평균,[],2000,09/19,420
207,[],[],평균,[],2000,09/20,420
208,[],[],평균,[],2000,09/21,420
209,[],[],평균,[],2000,09/22,420
210,[],[],평균,[],2000,09/23,420
211,[],[],평균,[],2000,09/25,420
212,[],[],평균,[],2000,09/26,420
213,[],[],평균,[],2000,09/27,420
214,[],[],평균,[],2000,09/28,420
215,[],[],평균,[],2000,09/29,420
216,[],[],평균,[],2000,09/30,420
217,[],[],평균,[],2000,10/02,420
218,[],[],평균,[],2000,10/04,420
219,[],[],평균,[],2000,10/05,420
220,[],[],평균,[],2000,10/06,420
221,[],[],평균,[],2000,10/07,420
222,[],[],평균,[],2000,10/09,420
223,[],[],평균,[],2000,10/10,420
224,[],[],평균,[],2000,10/11,420
225,[],[],평균,[],2000,10/12,420
226,[],[],평균,[],2000,10/13,420
227,[],[],평균,[],2000,10/14,420
228,[],[],평균,[],2000,10/17,450
229,[],[],평균,[],2000,10/18,450
230,[],[],평균,[],2000,10/19,450
231,[],[],평균,[],2000,10/20,450
232,[],[],평균,[],2000,10/21,450
233,[],[],평균,[],2000,10/23,450
234,[],[],평균,[],2000,10/24,450
235,[],[],평균,[],2000,10/25,450
236,[],[],평균,[],2000,10/26,450
237,[],[],평균,[],2000,10/27,450
238,[],[],평균,[],2000,10/28,450
239,[],[],평균,[],2000,10/30,470
240,[],[],평균,[],2000,10/31,470
241,[],[],평균,[],2000,11/01,470
242,[],[],평균,[],2000,11/02,470
243,[],[],평균,[],2000,11/03,470
244,[],[],평균,[],2000,11/04,470
245,[],[],평균,[],2000,11/06,500
246,[],[],평균,[],2000,11/07,520
247,[],[],평균,[],2000,11/08,520
248,[],[],평균,[],2000,11/09,520
249,[],[],평균,[],2000,11/10,520
250,[],[],평균,[],2000,11/11,520
251,[],[],평균,[],2000,11/13,520
252,[],[],평균,[],2000,11/14,520
253,[],[],평균,[],2000,11/15,520
254,[],[],평균,[],2000,11/16,520
255,[],[],평균,[],2000,11/17,520
256,[],[],평균,[],2000,11/18,520
257,[],[],평균,[],2000,11/20,520
258,[],[],평균,[],2000,11/21,520
259,[],[],평균,[],2000,11/22,520
260,[],[],평균,[],2000,11/23,520
261,[],[],평균,[],2000,11/24,520
262,[],[],평균,[],2000,11/25,520
263,[],[],평균,[],2000,11/27,520
264,[],[],평균,[],2000,11/28,520
265,[],[],평균,[],2000,11/29,520
266,[],[],평균,[],2000,11/30,550
267,[],[],평균,[],2000,12/01,550
268,[],[],평균,[],2000,12/02,550
269,[],[],평균,[],2000,12/04,550
270,[],[],평균,[],2000,12/05,550
271,[],[],평균,[],2000,12/06,550
272,[],[],평균,[],2000,12/07,550
273,[],[],평균,[],2000,12/08,550
274,[],[],평균,[],2000,12/09,550
275,[],[],평균,[],2000,12/11,550
276,[],[],평균,[],2000,12/12,550
277,[],[],평균,[],2000,12/13,550
278,[],[],평균,[],2000,12/14,550
279,[],[],평균,[],2000,12/15,550
280,[],[],평균,[],2000,12/16,550
281,[],[],평균,[],2000,12/18,550
282,[],[],평균,[],2000,12/19,550
283,[],[],평균,[],2000,12/20,550
284,[],[],평균,[],2000,12/21,550
285,[],[],평균,[],2000,12/22,550
286,[],[],평균,[],2000,12/23,550
287,[],[],평균,[],2000,12/26,550
288,[],[],평균,[],2000,12/27,550
289,[],[],평균,[],2000,12/28,550
290,[],[],평균,[],2000,12/29,550
291,[],[],평균,[],2000,12/30,550
292,[],[],평균,[],2001,01/02,550
293,[],[],평균,[],2001,01/03,550
294,[],[],평균,[],2001,01/04,550
295,[],[],평균,[],2001,01/05,550
296,[],[],평균,[],2001,01/06,550
297,[],[],평균,[],2001,01/08,550
298,[],[],평균,[],2001,01/09,550
299,[],[],평균,[],2001,01/10,550
300,[],[],평균,[],2001,01/11,550
301,[],[],평균,[],2001,01/12,550
302,[],[],평균,[],2001,01/13,550
303,[],[],평균,[],2001,01/15,550
304,[],[],평균,[],2001,01/16,550
305,[],[],평균,[],2001,01/17,550
306,[],[],평균,[],2001,01/18,550
307,[],[],평균,[],2001,01/19,550
308,[],[],평균,[],2001,01/20,550
309,[],[],평균,[],2001,01/22,550
310,[],[],평균,[],2001,01/26,550
311,[],[],평균,[],2001,01/27,550
312,[],[],평균,[],2001,01/29,550
313,[],[],평균,[],2001,01/30,550
314,[],[],평균,[],2001,01/31,550
315,[],[],평균,[],2001,02/01,600
316,[],[],평균,[],2001,02/02,600
317,[],[],평균,[],2001,02/03,600
318,[],[],평균,[],2001,02/05,600
319,[],[],평균,[],2001,02/06,600
320,[],[],평균,[],2001,02/07,600
321,[],[],평균,[],2001,02/08,600
322,[],[],평균,[],2001,02/09,600
323,[],[],평균,[],2001,02/10,600
324,[],[],평균,[],2001,02/12,600
325,[],[],평균,[],2001,02/13,600
326,[],[],평균,[],2001,02/14,600
327,[],[],평균,[],2001,02/15,600
328,[],[],평균,[],2001,02/16,600
329,[],[],평균,[],2001,02/17,600
330,[],[],평균,[],2001,02/19,600
331,[],[],평균,[],2001,02/20,600
332,[],[],평균,[],2001,02/21,600
333,[],[],평균,[],2001,02/22,600
334,[],[],평균,[],2001,02/23,600
335,[],[],평균,[],2001,02/24,600
336,[],[],평균,[],2001,02/26,600
337,[],[],평균,[],2001,02/27,600
338,[],[],평균,[],2001,02/28,600
339,[],[],평균,[],2001,03/02,600
340,[],[],평균,[],2001,03/03,600
341,[],[],평균,[],2001,03/05,600
342,[],[],평균,[],2001,03/06,600
343,[],[],평균,[],2001,03/07,600
344,[],[],평균,[],2001,03/08,600
345,[],[],평균,[],2001,03/09,600
346,[],[],평균,[],2001,03/10,600
347,[],[],평균,[],2001,03/12,600
348,[],[],평균,[],2001,03/13,600
349,[],[],평균,[],2001,03/14,600
350,[],[],평균,[],2001,03/15,600
351,[],[],평균,[],2001,03/16,600
352,[],[],평균,[],2001,03/17,600
353,[],[],평균,[],2001,03/19,600
354,[],[],평균,[],2001,03/20,600
355,[],[],평균,[],2001,03/21,600
356,[],[],평균,[],2001,03/22,600
357,[],[],평균,[],2001,03/23,600
358,[],[],평균,[],2001,03/24,600
359,[],[],평균,[],2001,03/26,600
360,[],[],평균,[],2001,03/27,600
361,[],[],평균,[],2001,03/28,600
362,[],[],평균,[],2001,03/29,550
363,[],[],평균,[],2001,03/30,550
364,[],[],평균,[],2001,03/31,550
365,[],[],평균,[],2001,04/02,550
366,[],[],평균,[],2001,04/03,550
367,[],[],평균,[],2001,04/04,550
368,[],[],평균,[],2001,04/06,550
369,[],[],평균,[],2001,04/07,550
370,[],[],평균,[],2001,04/09,550
371,[],[],평균,[],2001,04/10,550
372,[],[],평균,[],2001,04/11,550
373,[],[],평균,[],2001,04/12,500
374,[],[],평균,[],2001,04/13,500
375,[],[],평균,[],2001,04/14,500
376,[],[],평균,[],2001,04/16,400
377,[],[],평균,[],2001,04/17,400
378,[],[],평균,[],2001,04/18,400
379,[],[],평균,[],2001,04/19,400
380,[],[],평균,[],2001,04/20,400
381,[],[],평균,[],2001,04/21,300
382,[],[],평균,[],2001,04/23,300
383,[],[],평균,[],2001,04/24,300
384,[],[],평균,[],2001,04/25,300
385,[],[],평균,[],2001,04/26,300
386,[],[],평균,[],2001,04/27,250
387,[],[],평균,[],2001,04/28,250
388,[],[],평균,[],2001,04/30,250
389,[],[],평균,[],2001,05/02,280
390,[],[],평균,[],2001,05/03,250
391,[],[],평균,[],2001,05/04,250
392,[],[],평균,[],2001,05/07,250
393,[],[],평균,[],2001,05/08,250
394,[],[],평균,[],2001,05/09,250
395,[],[],평균,[],2001,05/10,250
396,[],[],평균,[],2001,05/12,250
397,[],[],평균,[],2001,05/14,250
398,[],[],평균,[],2001,05/15,250
399,[],[],평균,[],2001,05/16,200
400,[],[],평균,[],2001,05/17,200
401,[],[],평균,[],2001,05/18,200
402,[],[],평균,[],2001,05/19,200
403,[],[],평균,[],2001,05/21,200
404,[],[],평균,[],2001,05/22,200
405,[],[],평균,[],2001,05/23,200
406,[],[],평균,[],2001,05/24,200
407,[],[],평균,[],2001,05/25,200
408,[],[],평균,[],2001,05/26,200
409,[],[],평균,[],2001,05/28,200
410,[],[],평균,[],2001,05/29,200
411,[],[],평균,[],2001,05/30,200
412,[],[],평균,[],2001,05/31,200
413,[],[],평균,[],2001,06/01,200
414,[],[],평균,[],2001,06/02,200
415,[],[],평균,[],2001,06/04,200
416,[],[],평균,[],2001,06/05,200
417,[],[],평균,[],2001,06/07,250
418,[],[],평균,[],2001,06/08,300
419,[],[],평균,[],2001,06/09,300
420,[],[],평균,[],2001,06/11,300
421,[],[],평균,[],2001,06/12,300
422,[],[],평균,[],2001,06/13,300
423,[],[],평균,[],2001,06/14,300
424,[],[],평균,[],2001,06/15,300
425,[],[],평균,[],2001,06/16,330
426,[],[],평균,[],2001,06/18,350
427,[],[],평균,[],2001,06/19,350
428,[],[],평균,[],2001,06/20,350
429,[],[],평균,[],2001,06/21,350
430,[],[],평균,[],2001,06/22,350
431,[],[],평균,[],2001,06/23,350
432,[],[],평균,[],2001,06/25,350
433,[],[],평균,[],2001,06/26,350
434,[],[],평균,[],2001,06/27,350
435,[],[],평균,[],2001,06/28,350
436,[],[],평균,[],2001,06/29,350
437,[],[],평균,[],2001,06/30,350
438,[],[],평균,[],2001,07/02,350
439,[],[],평균,[],2001,07/03,350
440,[],[],평균,[],2001,07/04,350
441,[],[],평균,[],2001,07/05,350
442,[],[],평균,[],2001,07/06,350
443,[],[],평균,[],2001,07/07,350
444,[],[],평균,[],2001,07/09,350
445,[],[],평균,[],2001,07/10,350
446,[],[],평균,[],2001,07/11,350
447,[],[],평균,[],2001,07/12,350
448,[],[],평균,[],2001,07/13,350
449,[],[],평균,[],2001,07/14,350
450,[],[],평균,[],2001,07/16,350
451,[],[],평균,[],2001,07/18,350
452,[],[],평균,[],2001,07/19,350
453,[],[],평균,[],2001,07/20,350
454,[],[],평균,[],2001,07/21,350
455,[],[],평균,[],2001,07/23,350
456,[],[],평균,[],2001,07/24,350
457,[],[],평균,[],2001,07/25,350
458,[],[],평균,[],2001,07/26,350
459,[],[],평균,[],2001,07/27,350
460,[],[],평균,[],2001,07/28,350
461,[],[],평균,[],2001,07/30,350
462,[],[],평균,[],2001,07/31,350
463,[],[],평균,[],2001,08/01,350
464,[],[],평균,[],2001,08/02,350
465,[],[],평균,[],2001,08/03,350
466,[],[],평균,[],2001,08/04,350
467,[],[],평균,[],2001,08/06,350
468,[],[],평균,[],2001,08/07,350
469,[],[],평균,[],2001,08/08,350
470,[],[],평균,[],2001,08/09,350
471,[],[],평균,[],2001,08/10,350
472,[],[],평균,[],2001,08/11,350
473,[],[],평균,[],2001,08/13,350
474,[],[],평균,[],2001,08/14,350
475,[],[],평균,[],2001,08/15,350
476,[],[],평균,[],2001,08/16,350
477,[],[],평균,[],2001,08/17,350
478,[],[],평균,[],2001,08/18,350
479,[],[],평균,[],2001,08/20,350
480,[],[],평균,[],2001,08/21,350
481,[],[],평균,[],2001,08/22,350
482,[],[],평균,[],2001,08/23,350
483,[],[],평균,[],2001,08/24,350
484,[],[],평균,[],2001,08/25,350
485,[],[],평균,[],2001,08/27,350
486,[],[],평균,[],2001,08/28,350
487,[],[],평균,[],2001,08/29,350
488,[],[],평균,[],2001,08/30,350
489,[],[],평균,[],2001,08/31,350
490,[],[],평균,[],2001,09/01,350
491,[],[],평균,[],2001,09/03,350
492,[],[],평균,[],2001,09/04,350
493,[],[],평균,[],2001,09/05,350
494,[],[],평균,[],2001,09/06,350
495,[],[],평균,[],2001,09/07,350
496,[],[],평균,[],2001,09/08,350
497,[],[],평균,[],2001,09/10,350
498,[],[],평균,[],2001,09/11,350
499,[],[],평균,[],2001,09/12,350
500,[],[],평균,[],2001,09/13,350
501,[],[],평균,[],2001,09/14,350
502,[],[],평균,[],2001,09/15,350
503,[],[],평균,[],2001,09/17,350
504,[],[],평균,[],2001,09/18,350
505,[],[],평균,[],2001,09/19,350
506,[],[],평균,[],2001,09/20,350
507,[],[],평균,[],2001,09/21,350
508,[],[],평균,[],2001,09/22,350
509,[],[],평균,[],2001,09/24,350
510,[],[],평균,[],2001,09/25,350
511,[],[],평균,[],2001,09/26,350
512,[],[],평균,[],2001,09/27,350
513,[],[],평균,[],2001,09/28,350
514,[],[],평균,[],2001,09/29,350
515,[],[],평균,[],2001,10/04,350
516,[],[],평균,[],2001,10/05,370
517,[],[],평균,[],2001,10/06,370
518,[],[],평균,[],2001,10/08,370
519,[],[],평균,[],2001,10/09,400
520,[],[],평균,[],2001,10/10,400
521,[],[],평균,[],2001,10/11,400
522,[],[],평균,[],2001,10/12,400
523,[],[],평균,[],2001,10/13,400
524,[],[],평균,[],2001,10/15,400
525,[],[],평균,[],2001,10/16,400
526,[],[],평균,[],2001,10/17,400
527,[],[],평균,[],2001,10/18,400
528,[],[],평균,[],2001,10/19,400
529,[],[],평균,[],2001,10/20,400
530,[],[],평균,[],2001,10/22,400
531,[],[],평균,[],2001,10/23,400
532,[],[],평균,[],2001,10/24,400
533,[],[],평균,[],2001,10/25,380
534,[],[],평균,[],2001,10/26,380
535,[],[],평균,[],2001,10/27,380
536,[],[],평균,[],2001,10/29,380
537,[],[],평균,[],2001,10/30,380
538,[],[],평균,[],2001,10/31,380
539,[],[],평균,[],2001,11/01,400
540,[],[],평균,[],2001,11/02,400
541,[],[],평균,[],2001,11/03,400
542,[],[],평균,[],2001,11/05,400
543,[],[],평균,[],2001,11/06,400
544,[],[],평균,[],2001,11/07,400
545,[],[],평균,[],2001,11/08,400
546,[],[],평균,[],2001,11/09,400
547,[],[],평균,[],2001,11/10,400
548,[],[],평균,[],2001,11/12,400
549,[],[],평균,[],2001,11/13,400
550,[],[],평균,[],2001,11/14,400
551,[],[],평균,[],2001,11/15,400
552,[],[],평균,[],2001,11/16,400
553,[],[],평균,[],2001,11/17,400
554,[],[],평균,[],2001,11/19,400
555,[],[],평균,[],2001,11/20,400
556,[],[],평균,[],2001,11/21,400
557,[],[],평균,[],2001,11/22,400
558,[],[],평균,[],2001,11/23,400
559,[],[],평균,[],2001,11/24,400
560,[],[],평균,[],2001,11/26,400
561,[],[],평균,[],2001,11/27,400
562,[],[],평균,[],2001,11/28,400
563,[],[],평균,[],2001,11/29,400
564,[],[],평균,[],2001,11/30,400
565,[],[],평균,[],2001,12/01,400
566,[],[],평균,[],2001,12/03,400
567,[],[],평균,[],2001,12/04,400
568,[],[],평균,[],2001,12/05,400
569,[],[],평균,[],2001,12/06,400
570,[],[],평균,[],2001,12/07,400
571,[],[],평균,[],2001,12/08,400
572,[],[],평균,[],2001,12/10,400
573,[],[],평균,[],2001,12/11,400
574,[],[],평균,[],2001,12/12,400
575,[],[],평균,[],2001,12/13,400
576,[],[],평균,[],2001,12/14,400
577,[],[],평균,[],2001,12/15,400
578,[],[],평균,[],2001,12/17,400
579,[],[],평균,[],2001,12/18,400
580,[],[],평균,[],2001,12/19,400
581,[],[],평균,[],2001,12/20,400
582,[],[],평균,[],2001,12/21,400
583,[],[],평균,[],2001,12/22,400
584,[],[],평균,[],2001,12/24,400
585,[],[],평균,[],2001,12/26,400
586,[],[],평균,[],2001,12/27,400
587,[],[],평균,[],2001,12/28,400
588,[],[],평균,[],2001,12/29,400
589,[],[],평균,[],2001,12/31,400
590,[],[],평균,[],2002,01/02,400
591,[],[],평균,[],2002,01/03,400
592,[],[],평균,[],2002,01/04,400
593,[],[],평균,[],2002,01/05,400
594,[],[],평균,[],2002,01/07,400
595,[],[],평균,[],2002,01/08,400
596,[],[],평균,[],2002,01/09,400
597,[],[],평균,[],2002,01/10,400
598,[],[],평균,[],2002,01/11,400
599,[],[],평균,[],2002,01/12,400
600,[],[],평균,[],2002,01/14,400
601,[],[],평균,[],2002,01/15,400
602,[],[],평균,[],2002,01/16,400
603,[],[],평균,[],2002,01/17,400
604,[],[],평균,[],2002,01/18,400
605,[],[],평균,[],2002,01/19,400
606,[],[],평균,[],2002,01/21,400
607,[],[],평균,[],2002,01/22,400
608,[],[],평균,[],2002,01/23,400
609,[],[],평균,[],2002,01/24,400
610,[],[],평균,[],2002,01/25,400
611,[],[],평균,[],2002,01/26,400
612,[],[],평균,[],2002,01/28,400
613,[],[],평균,[],2002,01/29,400
614,[],[],평균,[],2002,01/30,400
615,[],[],평균,[],2002,01/31,400
616,[],[],평균,[],2002,02/01,400
617,[],[],평균,[],2002,02/02,400
618,[],[],평균,[],2002,02/04,400
619,[],[],평균,[],2002,02/05,400
620,[],[],평균,[],2002,02/06,400
621,[],[],평균,[],2002,02/07,400
622,[],[],평균,[],2002,02/08,400
623,[],[],평균,[],2002,02/09,400
624,[],[],평균,[],2002,02/14,400
625,[],[],평균,[],2002,02/15,400
626,[],[],평균,[],2002,02/16,400
627,[],[],평균,[],2002,02/18,400
628,[],[],평균,[],2002,02/19,400
629,[],[],평균,[],2002,02/20,400
630,[],[],평균,[],2002,02/21,400
631,[],[],평균,[],2002,02/22,400
632,[],[],평균,[],2002,02/23,400
633,[],[],평균,[],2002,02/25,400
634,[],[],평균,[],2002,02/26,400
635,[],[],평균,[],2002,02/27,400
636,[],[],평균,[],2002,02/28,370
637,[],[],평균,[],2002,03/02,370
638,[],[],평균,[],2002,03/04,350
639,[],[],평균,[],2002,03/05,350
640,[],[],평균,[],2002,03/06,350
641,[],[],평균,[],2002,03/07,350
642,[],[],평균,[],2002,03/08,350
643,[],[],평균,[],2002,03/09,350
644,[],[],평균,[],2002,03/11,350
645,[],[],평균,[],2002,03/12,350
646,[],[],평균,[],2002,03/13,350
647,[],[],평균,[],2002,03/14,350
648,[],[],평균,[],2002,03/15,350
649,[],[],평균,[],2002,03/16,350
650,[],[],평균,[],2002,03/18,350
651,[],[],평균,[],2002,03/19,350
652,[],[],평균,[],2002,03/20,350
653,[],[],평균,[],2002,03/21,350
654,[],[],평균,[],2002,03/22,350
655,[],[],평균,[],2002,03/23,350
656,[],[],평균,[],2002,03/25,350
657,[],[],평균,[],2002,03/26,350
658,[],[],평균,[],2002,03/27,350
659,[],[],평균,[],2002,03/28,350
660,[],[],평균,[],2002,03/29,320
661,[],[],평균,[],2002,03/30,320
662,[],[],평균,[],2002,04/01,300
663,[],[],평균,[],2002,04/02,300
664,[],[],평균,[],2002,04/03,300
665,[],[],평균,[],2002,04/04,300
666,[],[],평균,[],2002,04/06,300
667,[],[],평균,[],2002,04/08,300
668,[],[],평균,[],2002,04/09,300
669,[],[],평균,[],2002,04/10,300
670,[],[],평균,[],2002,04/11,300
671,[],[],평균,[],2002,04/12,300
672,[],[],평균,[],2002,04/13,300
673,[],[],평균,[],2002,04/15,300
674,[],[],평균,[],2002,04/16,300
675,[],[],평균,[],2002,04/17,270
676,[],[],평균,[],2002,04/18,250
677,[],[],평균,[],2002,04/19,250
678,[],[],평균,[],2002,04/20,250
679,[],[],평균,[],2002,04/22,250
680,[],[],평균,[],2002,04/23,250
681,[],[],평균,[],2002,04/24,250
682,[],[],평균,[],2002,04/25,250
683,[],[],평균,[],2002,04/26,250
684,[],[],평균,[],2002,04/27,250
685,[],[],평균,[],2002,05/02,240
686,[],[],평균,[],2002,05/04,200
687,[],[],평균,[],2002,05/06,200
688,[],[],평균,[],2002,05/07,200
689,[],[],평균,[],2002,05/08,200
690,[],[],평균,[],2002,05/09,210
691,[],[],평균,[],2002,05/10,210
692,[],[],평균,[],2002,05/11,250
693,[],[],평균,[],2002,05/13,250
694,[],[],평균,[],2002,05/14,250
695,[],[],평균,[],2002,05/15,250
